2024-03-11 00:02:12.352 [restartedMain] INFO  c.a.i.IssueTackerApiApplication - Starting IssueTackerApiApplication using Java 17.0.10 with PID 49899 (/home/amol/full_stack/track_is/backend/issue-tacker-api/target/classes started by amol in /home/amol/full_stack/track_is/backend/issue-tacker-api)
2024-03-11 00:02:12.357 [restartedMain] INFO  c.a.i.IssueTackerApiApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-11 00:02:12.465 [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in /home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/grpc-netty-shaded-1.30.0.jar referenced one or more files that do not exist: file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/grpc-core-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/grpc-api-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/gson-2.8.6.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/annotations-4.1.1.4.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/animal-sniffer-annotations-1.18.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/error_prone_annotations-2.3.4.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/guava-28.2-android.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/perfmark-api-0.19.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/jsr305-3.0.2.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/grpc-context-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/failureaccess-1.0.1.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/checker-compat-qual-2.5.5.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/j2objc-annotations-1.3.jar
2024-03-11 00:02:12.466 [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in /home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-alts-1.30.0.jar referenced one or more files that do not exist: file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-auth-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-grpclb-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-protobuf-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-stub-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/commons-lang3-3.5.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/protobuf-java-util-3.12.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/protobuf-java-3.12.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/conscrypt-openjdk-uber-2.2.1.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/google-auth-library-oauth2-http-0.20.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-netty-shaded-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-core-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-protobuf-lite-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-api-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/guava-28.2-android.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/error_prone_annotations-2.3.4.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/google-auth-library-credentials-0.20.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/animal-sniffer-annotations-1.18.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/google-http-client-jackson2-1.34.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/google-http-client-1.34.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/perfmark-api-0.19.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/jsr305-3.0.2.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/proto-google-common-protos-1.17.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/auto-value-annotations-1.7.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/failureaccess-1.0.1.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/checker-compat-qual-2.5.5.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/j2objc-annotations-1.3.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-context-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/gson-2.8.6.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/annotations-4.1.1.4.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/httpclient-4.5.10.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/httpcore-4.4.12.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/opencensus-contrib-http-util-0.24.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/opencensus-api-0.24.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/jackson-core-2.10.1.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/commons-logging-1.2.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/commons-codec-1.11.jar
2024-03-11 00:02:12.466 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-03-11 00:02:12.467 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-03-11 00:02:14.892 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-11 00:02:15.024 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 121 ms. Found 6 JPA repository interfaces.
2024-03-11 00:02:16.035 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-03-11 00:02:16.047 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-11 00:02:16.048 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-11 00:02:16.098 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-11 00:02:16.099 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3631 ms
2024-03-11 00:02:16.494 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-11 00:02:16.541 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-03-11 00:02:16.573 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-03-11 00:02:16.786 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-11 00:02:16.811 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-11 00:02:17.097 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7e4f4e1b
2024-03-11 00:02:17.099 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-11 00:02:17.157 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-03-11 00:02:18.428 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-03-11 00:02:18.546 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-11 00:02:19.017 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-03-11 00:02:20.174 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-03-11 00:02:21.416 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@54e0b716, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@a9ffa19, org.springframework.security.web.context.SecurityContextHolderFilter@29f24bcd, org.springframework.security.web.header.HeaderWriterFilter@3bcdc7bf, org.springframework.web.filter.CorsFilter@507fafdd, org.springframework.security.web.authentication.logout.LogoutFilter@8c5be50, com.api.issuetacker.security.JwtAuthenticationFilter@725468a8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@ca3fa4b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29b3ece8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@9141ad4, org.springframework.security.web.session.SessionManagementFilter@2022a2a1, org.springframework.security.web.access.ExceptionTranslationFilter@2a3733a2, org.springframework.security.web.access.intercept.AuthorizationFilter@7b948638]
2024-03-11 00:02:22.843 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-03-11 00:02:22.949 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-03-11 00:02:23.138 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-03-11 00:02:23.144 [restartedMain] INFO  c.a.i.IssueTackerApiApplication - Started IssueTackerApiApplication in 11.87 seconds (process running for 13.036)
2024-03-11 00:02:23.545 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-11 00:02:23.546 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-11 00:02:23.551 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2024-03-11 00:02:25.303 [http-nio-8080-exec-1] INFO  c.a.i.s.JwtAuthenticationFilter - 0:0:0:0:0:0:0:1
2024-03-11 00:02:33.082 [http-nio-8080-exec-3] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Error: 1265, SQLState: 01000
2024-03-11 00:02:33.083 [http-nio-8080-exec-3] ERROR o.h.e.jdbc.spi.SqlExceptionHelper - Data truncated for column 'status' at row 1
2024-03-11 00:02:33.105 [http-nio-8080-exec-3] ERROR c.a.i.exception.AppExceptionHandler - com.api.issuetacker.exception.BadRequestException: Error creating Issue
2024-03-11 00:02:33.114 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.api.issuetacker.exception.BadRequestException: Error creating Issue]
2024-03-11 00:02:33.116 [http-nio-8080-exec-3] INFO  c.a.i.s.JwtAuthenticationFilter - 0:0:0:0:0:0:0:1
2024-03-11 00:03:49.065 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-03-11 00:03:49.071 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-03-11 00:03:49.079 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-03-11 00:06:14.559 [restartedMain] INFO  c.a.i.IssueTackerApiApplication - Starting IssueTackerApiApplication using Java 17.0.10 with PID 50448 (/home/amol/full_stack/track_is/backend/issue-tacker-api/target/classes started by amol in /home/amol/full_stack/track_is/backend/issue-tacker-api)
2024-03-11 00:06:14.562 [restartedMain] INFO  c.a.i.IssueTackerApiApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-11 00:06:14.630 [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in /home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/grpc-netty-shaded-1.30.0.jar referenced one or more files that do not exist: file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/grpc-core-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/grpc-api-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/gson-2.8.6.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/annotations-4.1.1.4.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/animal-sniffer-annotations-1.18.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/error_prone_annotations-2.3.4.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/guava-28.2-android.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/perfmark-api-0.19.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/jsr305-3.0.2.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/grpc-context-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/failureaccess-1.0.1.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/checker-compat-qual-2.5.5.jar,file:/home/amol/.m2/repository/io/grpc/grpc-netty-shaded/1.30.0/j2objc-annotations-1.3.jar
2024-03-11 00:06:14.631 [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in /home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-alts-1.30.0.jar referenced one or more files that do not exist: file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-auth-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-grpclb-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-protobuf-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-stub-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/commons-lang3-3.5.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/protobuf-java-util-3.12.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/protobuf-java-3.12.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/conscrypt-openjdk-uber-2.2.1.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/google-auth-library-oauth2-http-0.20.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-netty-shaded-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-core-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-protobuf-lite-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-api-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/guava-28.2-android.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/error_prone_annotations-2.3.4.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/google-auth-library-credentials-0.20.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/animal-sniffer-annotations-1.18.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/google-http-client-jackson2-1.34.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/google-http-client-1.34.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/perfmark-api-0.19.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/jsr305-3.0.2.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/proto-google-common-protos-1.17.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/auto-value-annotations-1.7.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/failureaccess-1.0.1.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/checker-compat-qual-2.5.5.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/j2objc-annotations-1.3.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/grpc-context-1.30.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/gson-2.8.6.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/annotations-4.1.1.4.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/httpclient-4.5.10.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/httpcore-4.4.12.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/opencensus-contrib-http-util-0.24.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/opencensus-api-0.24.0.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/jackson-core-2.10.1.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/commons-logging-1.2.jar,file:/home/amol/.m2/repository/io/grpc/grpc-alts/1.30.0/commons-codec-1.11.jar
2024-03-11 00:06:14.631 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-03-11 00:06:14.631 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-03-11 00:06:16.511 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-11 00:06:16.642 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 6 JPA repository interfaces.
2024-03-11 00:06:17.841 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-03-11 00:06:17.854 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-11 00:06:17.855 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-11 00:06:17.920 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-11 00:06:17.921 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3289 ms
2024-03-11 00:06:18.385 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-11 00:06:18.476 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-03-11 00:06:18.522 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-03-11 00:06:18.835 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-11 00:06:18.869 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-11 00:06:19.262 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7c31c93a
2024-03-11 00:06:19.273 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-11 00:06:19.335 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-03-11 00:06:20.711 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-03-11 00:06:20.864 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-11 00:06:21.433 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-03-11 00:06:22.686 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-03-11 00:06:24.104 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1c030645, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3cbbdd4b, org.springframework.security.web.context.SecurityContextHolderFilter@5106038e, org.springframework.security.web.header.HeaderWriterFilter@2c25b6d8, org.springframework.web.filter.CorsFilter@17482f9, org.springframework.security.web.authentication.logout.LogoutFilter@1589f371, com.api.issuetacker.security.JwtAuthenticationFilter@37d22dca, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2dfc4c5b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@290844d0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3b6603bb, org.springframework.security.web.session.SessionManagementFilter@20787a15, org.springframework.security.web.access.ExceptionTranslationFilter@6dfb69ff, org.springframework.security.web.access.intercept.AuthorizationFilter@767c9975]
2024-03-11 00:06:25.414 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-03-11 00:06:25.464 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-03-11 00:06:25.577 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-03-11 00:06:25.583 [restartedMain] INFO  c.a.i.IssueTackerApiApplication - Started IssueTackerApiApplication in 11.854 seconds (process running for 13.387)
2024-03-11 00:06:26.009 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-11 00:06:26.010 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-11 00:06:26.030 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2024-03-11 00:06:26.877 [http-nio-8080-exec-1] INFO  c.a.i.s.JwtAuthenticationFilter - 0:0:0:0:0:0:0:1
2024-03-11 00:06:33.165 [http-nio-8080-exec-3] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Error: 1265, SQLState: 01000
2024-03-11 00:06:33.165 [http-nio-8080-exec-3] ERROR o.h.e.jdbc.spi.SqlExceptionHelper - Data truncated for column 'status' at row 1
2024-03-11 00:06:33.178 [http-nio-8080-exec-3] ERROR c.a.i.exception.AppExceptionHandler - com.api.issuetacker.exception.BadRequestException: Error creating Issue
2024-03-11 00:06:33.183 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.api.issuetacker.exception.BadRequestException: Error creating Issue]
2024-03-11 00:06:33.186 [http-nio-8080-exec-3] INFO  c.a.i.s.JwtAuthenticationFilter - 0:0:0:0:0:0:0:1
2024-03-11 00:06:55.015 [SimpleAsyncTaskExecutor-46] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 1 deletion, 0 modifications)
2024-03-11 00:06:55.048 [Thread-5] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-03-11 00:06:55.055 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-03-11 00:06:55.070 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-03-11 00:06:55.301 [restartedMain] INFO  c.a.i.IssueTackerApiApplication - Starting IssueTackerApiApplication using Java 17.0.10 with PID 50448 (/home/amol/full_stack/track_is/backend/issue-tacker-api/target/classes started by amol in /home/amol/full_stack/track_is/backend/issue-tacker-api)
2024-03-11 00:06:55.302 [restartedMain] INFO  c.a.i.IssueTackerApiApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-11 00:06:56.112 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-11 00:06:56.146 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 6 JPA repository interfaces.
2024-03-11 00:06:56.566 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-03-11 00:06:56.568 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-11 00:06:56.569 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-11 00:06:56.597 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-11 00:06:56.597 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1291 ms
2024-03-11 00:06:57.008 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-11 00:06:57.020 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
